location,google_domain,gl(not needed),Region,EU member,Schengen Agreement
Austria,google.at,at,Europe,TRUE,TRUE
Belgium,google.be,be,Europe,TRUE,TRUE
Bulgaria,google.bg,bg,Europe,TRUE,TRUE
Canada,google.ca,ca,Northern America,FALSE,FALSE
Croatia,google.hr,hr,Europe,TRUE,TRUE
Cyprus,google.com.cy,cy,Europe,FALSE,FALSE
Czechia,google.cz,cz,Europe,TRUE,TRUE
Denmark,google.dk,dk,Europe,TRUE,TRUE
Estonia,google.ee,ee,Europe,TRUE,TRUE
Finland,google.fi,fi,Europe,TRUE,TRUE
France,google.fr,fr,Europe,TRUE,TRUE
Germany,google.de,de,Europe,TRUE,TRUE
Greece,google.gr,gr,Europe,TRUE,TRUE
Hungary,google.hu,hu,Europe,TRUE,TRUE
Iceland,google.is,is,Europe,FALSE,TRUE
Ireland,google.ie,ie,Europe,FALSE,FALSE
Italy,google.it,it,Europe,TRUE,TRUE
Latvia,google.lv,lv,Europe,TRUE,TRUE
Liechtenstein,google.li,li,Europe,FALSE,TRUE
Lithuania,google.lt,lt,Europe,TRUE,TRUE
Luxembourg,google.lu,lu,Europe,TRUE,TRUE
Malta,google.com.mt,mt,Europe,TRUE,TRUE
Mexico,google.com.mx,mx,Northern America,FALSE,FALSE
Netherlands,google.nl,nl,Europe,TRUE,TRUE
Norway,google.no,no,Europe,FALSE,TRUE
Poland,google.pl,pl,Europe,TRUE,TRUE
Portugal,google.pt,pt,Europe,TRUE,TRUE
Romania,google.ro,ro,Europe,TRUE,TRUE
Slovakia,google.sk,sk,Europe,TRUE,TRUE
Slovenia,google.si,si,Europe,TRUE,TRUE
Spain,google.es,es,Europe,TRUE,TRUE
Sweden,google.se,se,Europe,TRUE,TRUE
Switzerland,google.ch,ch,Europe,FALSE,TRUE
United Kingdom,google.co.uk,uk,Europe,FALSE,FALSE
United States,google.com,us,Northern America,FALSE,FALSE
